"issue","subject","company","status","product_area","response","justification","request_type"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","escalated","general_help","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. For further assistance, please contact Anthropic support through the Claude Help Center.","Escalated: retrieval confidence below threshold (score=0.09). Classified as product_issue / general_help.","product_issue"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","escalated","general_help","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.12). Classified as product_issue / general_help.","product_issue"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.","Help","Visa","escalated","billing_and_payments","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. For card-specific issues — including activation, blocks, or disputes — please contact your card issuer (the bank that issued your Visa card).","Escalated: retrieval confidence below threshold (score=0.10). Classified as product_issue / billing_and_payments.","product_issue"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","replied","billing_and_payments","Based on the HackerRank support documentation: To access other mock interviews, you must purchase credits. For more information, see [](https://help.hackerrank.com/articles/3282259518) 📄 Purchase Mock Interview Credits. If you need more help, please reach out via the HackerRank Support center.","Replied using top-ranked chunk 'Introduction to Mock Interview Types of mock interviews Accessing mock interview' (score=0.28) from HackerRank. Request classified as bug in product_area 'billing_and_payments'.","bug"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","escalated","billing_and_payments","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.14). Classified as product_issue / billing_and_payments.","product_issue"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","escalated","general_help","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.09). Classified as product_issue / general_help.","product_issue"
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","escalated","general_help","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.10). Classified as bug / general_help.","bug"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","escalated","general_help","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.08). Classified as product_issue / general_help.","product_issue"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","escalated","bugs_and_errors","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.07). Classified as product_issue / bugs_and_errors.","product_issue"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","escalated","assessments_and_tests","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.09). Classified as product_issue / assessments_and_tests.","product_issue"
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?","Candidate inactivity help","HackerRank","escalated","interviews","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.09). Classified as product_issue / interviews.","product_issue"
"it’s not working, help","Help needed","None","escalated","general_help","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please contact the relevant product's support team.","Escalated: retrieval confidence below threshold (score=0.12). Classified as bug / general_help.","bug"
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?","How to Remove a User","HackerRank","escalated","interviews","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.08). Classified as product_issue / interviews.","product_issue"
"Hi, please pause our subscription. We have stopped all hiring efforts for now.","Subscription pause","HackerRank","replied","billing_and_payments","Thanks for reaching out. Good news — HackerRank has a **Pause Subscription** feature that lets you temporarily pause your subscription instead of canceling it, which sounds like what you need. To pause your subscription, log in and click your profile icon in the top-right corner, then select **Settings**. Navigate to the **Billing** section under **Subscription**, and click the **Cancel Plan** button. You'll be prompted to choose a pause duration between 1 month and 12 months. Confirm your selection, and you'll receive a confirmation message with your automatic resume date. A couple of requirements to note: your subscription must have been active for at least 30 days, and you must be on a monthly plan (Individual Monthly, Basic, or Interview Monthly). When you're ready to resume, you can log in during the paused period and click **Resume Early** to access your billing page, where you can click **Resume Plan** and confirm. If you run into any issues with the pause process or have questions about your specific plan, I'd recommend contacting HackerRank support directly for hands-on assistance.","Replied via LLM grounded on HackerRank snippets ('Pause Subscription', 'Pause Subscription'). Classified as product_issue / billing_and_payments, risk=low.","product_issue"
"Claude has stopped working completely, all requests are failing","Claude not responding","Claude","escalated","general_help","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. For further assistance, please contact Anthropic support through the Claude Help Center.","Escalated: retrieval confidence below threshold (score=0.12). Classified as product_issue / general_help.","product_issue"
"My identity has been stolen, wat should I do","Identity Theft","Visa","escalated","fraud_and_security","Thanks for reaching out. Because this involves possible fraud or account compromise, I've flagged it for a human support agent who can verify your account and act safely on your behalf. You'll be contacted through the usual support channel for this product. For card-specific issues — including activation, blocks, or disputes — please contact your card issuer (the bank that issued your Visa card).","Escalated: Possible fraud or account compromise. Risk level: high. Company: Visa.","product_issue"
"Resume Builder is Down","Help in creating resume","HackerRank","replied","general_help","Based on the HackerRank support documentation: Create a Resume with Resume Builder _Last updated: Mar 7, 2025, 4:17 PM (Last updated 1 year ago)_ The HackerRank Resume Builder is a powerful tool that helps you create a professional resume in just a few steps. It allows you to showcase your skills, achievements, and certifications to stand out to potential employers. Creating a resume with Resume Builder You can create a resume in one of the following ways: Build from scratch using a template. If you need more help, please reach out via the HackerRank Support center.","Replied using top-ranked chunk 'Create a Resume with Resume Builder' (score=0.36) from HackerRank. Request classified as product_issue in product_area 'general_help'.","product_issue"
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it","Certificate name update","HackerRank","escalated","assessments_and_tests","I couldn't find specific guidance for this question in the available support documentation. To make sure you get accurate help, please contact the official support team directly. If you need more help, please reach out via the HackerRank Support center.","Escalated: retrieval confidence below threshold (score=0.16). Classified as product_issue / assessments_and_tests.","product_issue"
"How do I dispute a charge","Dispute charge","Visa","escalated","billing_and_payments","Thanks for reaching out. Because this involves billing dispute / chargeback, I've flagged it for a human support agent who can verify your account and act safely on your behalf. You'll be contacted through the usual support channel for this product. For card-specific issues — including activation, blocks, or disputes — please contact your card issuer (the bank that issued your Visa card).","Escalated: Billing dispute / chargeback. Risk level: high. Company: Visa.","product_issue"
"I have found a major security vulnerability in Claude, what are the next steps","Bug bounty","Claude","escalated","bugs_and_errors","Thanks for reaching out. Because this involves security / breach report, I've flagged it for a human support agent who can verify your account and act safely on your behalf. You'll be contacted through the usual support channel for this product. For further assistance, please contact Anthropic support through the Claude Help Center.","Escalated: Security / breach report. Risk level: high. Company: Claude.","bug"
